iter	Passed	Remaining
0	138	259334
1	142	133733
2	146	91374
3	149	70038
4	153	57379
5	157	49198
6	161	43112
7	164	38574
8	168	34967
9	171	32130
10	175	29787
11	179	27904
12	183	26403
13	188	25117
14	192	23945
15	196	22925
16	200	21966
17	204	21176
18	208	20395
19	211	19703
20	215	19067
21	219	18550
22	223	18060
23	227	17605
24	231	17141
25	235	16771
26	239	16426
27	242	16060
28	246	15727
29	250	15446
30	254	15192
31	258	14908
32	261	14628
33	265	14409
34	270	14233
35	273	14024
36	277	13830
37	282	13679
38	285	13483
39	289	13300
40	293	13142
41	297	13034
42	301	12891
43	305	12735
44	309	12603
45	312	12474
46	316	12349
47	320	12229
48	323	12094
49	328	12014
50	332	11914
51	336	11821
52	341	11782
53	346	11721
54	350	11625
55	354	11535
56	359	11499
57	363	11424
58	367	11356
59	373	11323
60	377	11247
61	380	11156
62	383	11068
63	387	11005
64	391	10933
65	394	10853
66	398	10790
67	412	10986
68	415	10902
69	418	10822
70	422	10766
71	425	10690
72	428	10618
73	432	10543
74	435	10489
75	439	10435
76	472	11072
77	476	11014
78	480	10945
79	484	10898
80	488	10845
81	492	10801
82	495	10734
83	499	10682
84	502	10621
85	506	10562
86	509	10501
87	516	10527
88	520	10468
89	523	10412
90	526	10354
91	530	10307
92	533	10259
93	537	10207
94	540	10160
95	545	10132
96	549	10106
97	553	10063
98	556	10017
99	562	10008
100	565	9968
101	569	9928
102	573	9886
103	576	9850
104	580	9807
105	582	9756
106	586	9710
107	589	9667
108	593	9647
109	597	9612
110	601	9581
111	605	9551
112	609	9536
113	614	9515
114	618	9492
115	622	9469
116	626	9443
117	630	9414
118	634	9387
119	639	9373
120	643	9348
121	646	9320
122	650	9287
123	654	9270
124	658	9249
125	662	9223
126	666	9193
127	670	9182
128	720	9783
129	723	9745
130	726	9705
131	730	9670
132	734	9645
133	737	9615
134	741	9588
135	745	9554
136	750	9548
137	754	9526
138	758	9500
139	762	9476
140	766	9451
141	770	9427
142	773	9395
143	776	9365
144	780	9335
145	783	9310
146	787	9278
147	790	9245
148	793	9216
149	797	9193
150	800	9163
151	803	9135
152	806	9104
153	809	9073
154	813	9049
155	816	9022
156	819	8993
157	822	8964
158	825	8935
159	829	8921
160	832	8890
161	836	8869
162	839	8848
163	843	8830
164	847	8803
165	850	8778
166	853	8756
167	856	8729
168	860	8709
169	863	8689
170	867	8665
171	870	8641
172	873	8619
173	877	8599
174	880	8579
175	883	8555
176	886	8531
177	890	8517
178	894	8500
179	897	8479
180	900	8457
181	904	8441
182	908	8421
183	911	8399
184	914	8377
185	917	8356
186	921	8344
187	925	8325
188	928	8303
189	931	8284
190	935	8268
191	938	8251
192	942	8236
193	946	8222
194	950	8210
195	955	8205
196	958	8191
197	962	8177
198	967	8173
199	971	8161
200	975	8144
201	979	8132
202	983	8123
203	986	8108
204	990	8094
205	994	8083
206	998	8073
207	1002	8057
208	1006	8043
209	1010	8032
210	1024	8107
211	1028	8094
212	1032	8083
213	1036	8070
214	1040	8054
215	1044	8044
216	1048	8032
217	1051	8017
218	1054	7998
219	1057	7980
220	1061	7965
221	1064	7949
222	1067	7932
223	1070	7916
224	1074	7902
225	1078	7889
226	1081	7873
227	1084	7860
228	1088	7845
229	1092	7834
230	1095	7818
231	1098	7802
232	1101	7788
