iter	Passed	Remaining
0	7	7876
1	13	6749
2	19	6458
3	24	6058
4	29	5831
5	34	5711
6	39	5565
7	46	5774
8	53	5844
9	58	5802
10	63	5701
11	69	5704
12	73	5599
13	77	5486
14	83	5507
15	88	5457
16	93	5432
17	98	5371
18	105	5422
19	109	5375
20	115	5399
21	120	5362
22	124	5309
23	130	5303
24	134	5256
25	149	5615
26	154	5558
27	159	5521
28	164	5516
29	169	5475
30	173	5426
31	180	5466
32	185	5436
33	190	5424
34	197	5452
35	202	5424
36	207	5402
37	219	5545
38	224	5541
39	231	5545
40	236	5540
41	241	5500
42	247	5509
43	252	5489
44	257	5466
45	300	6226
46	306	6212
47	318	6319
48	325	6323
49	330	6278
50	335	6242
51	341	6229
52	345	6181
53	350	6146
54	357	6137
55	361	6100
56	365	6053
57	370	6022
58	375	5987
59	380	5955
60	384	5925
61	390	5909
62	395	5878
63	401	5870
64	406	5843
65	411	5820
66	432	6027
67	445	6104
68	450	6080
69	456	6060
70	460	6025
71	464	5992
72	469	5968
73	475	5953
74	479	5919
75	485	5901
76	490	5876
77	494	5850
78	499	5826
79	504	5806
80	508	5773
81	513	5749
82	518	5731
83	523	5711
84	527	5683
85	535	5687
86	539	5663
87	544	5641
88	550	5629
89	554	5608
90	558	5583
91	564	5570
92	568	5548
93	573	5525
94	577	5500
95	582	5489
96	587	5468
97	592	5454
98	601	5470
99	605	5448
100	610	5437
101	616	5428
102	621	5409
103	626	5393
104	631	5386
105	636	5365
106	640	5345
107	645	5334
108	650	5314
109	655	5301
110	661	5296
111	665	5280
112	670	5261
113	675	5251
114	679	5232
115	684	5214
116	688	5198
117	693	5185
118	698	5170
119	702	5153
120	707	5142
121	713	5132
122	718	5119
123	724	5121
124	729	5109
125	734	5097
126	740	5092
127	746	5082
128	750	5066
129	756	5064
130	760	5047
131	765	5031
132	769	5016
133	774	5006
134	778	4988
135	783	4974
136	788	4964
137	792	4953
138	797	4939
139	803	4937
140	810	4937
141	815	4925
142	822	4927
143	826	4915
144	831	4902
145	837	4901
146	842	4890
147	847	4877
148	853	4873
149	858	4862
150	862	4850
151	868	4843
152	872	4831
153	877	4821
154	884	4819
155	889	4812
156	894	4804
157	901	4802
158	907	4797
159	913	4796
160	920	4794
161	926	4791
162	931	4783
163	936	4773
164	940	4761
165	946	4756
166	950	4742
167	956	4734
168	960	4721
169	970	4739
170	975	4728
171	981	4723
172	1001	4789
173	1006	4777
174	1011	4769
175	1017	4763
176	1022	4755
177	1028	4751
178	1033	4739
179	1037	4727
180	1046	4737
181	1051	4727
182	1056	4716
183	1062	4711
184	1066	4698
185	1072	4693
186	1077	4683
187	1081	4670
188	1086	4660
189	1091	4654
190	1096	4643
191	1101	4637
192	1107	4630
193	1111	4618
194	1116	4609
195	1121	4602
196	1127	4594
197	1131	4584
198	1136	4574
199	1141	4564
200	1145	4554
201	1149	4542
202	1155	4535
203	1159	4525
204	1164	4515
205	1169	4508
206	1174	4499
207	1180	4495
208	1186	4492
209	1192	4486
210	1197	4476
211	1203	4472
212	1208	4466
213	1214	4461
214	1220	4457
215	1226	4452
216	1239	4472
217	1244	4463
218	1250	4461
219	1255	4453
220	1260	4444
221	1267	4441
222	1272	4434
223	1277	4424
224	1283	4421
225	1288	4412
226	1292	4402
227	1296	4390
228	1302	4383
229	1307	4376
230	1315	4379
231	1323	4380
232	1328	4374
233	1334	4366
234	1338	4358
235	1344	4353
236	1350	4346
237	1355	4340
238	1362	4337
239	1367	4330
240	1373	4325
241	1379	4320
242	1384	4312
243	1388	4302
244	1394	4297
245	1399	4289
246	1404	4281
247	1410	4276
248	1415	4268
249	1421	4263
250	1449	4325
251	1454	4317
252	1461	4314
253	1466	4307
254	1472	4301
255	1477	4295
256	1483	4287
257	1489	4282
258	1494	4275
259	1499	4268
260	1505	4263
261	1511	4256
262	1516	4250
263	1523	4246
264	1528	4238
265	1532	4228
266	1539	4225
267	1544	4218
268	1550	4212
269	1555	4206
270	1561	4201
271	1567	4194
272	1572	4186
273	1577	4179
274	1582	4171
275	1588	4167
276	1593	4158
277	1597	4149
278	1602	4141
279	1607	4133
280	1611	4123
281	1616	4116
282	1622	4109
283	1627	4103
284	1632	4095
285	1638	4090
286	1643	4084
287	1650	4080
288	1655	4073
289	1660	4064
290	1665	4057
291	1670	4049
292	1674	4040
293	1679	4031
294	1685	4027
295	1689	4018
296	1694	4009
297	1702	4011
298	1708	4004
299	1714	3999
300	1718	3991
301	1722	3981
302	1728	3975
303	1732	3967
304	1737	3958
305	1741	3950
306	1748	3947
307	1753	3939
308	1759	3933
309	1763	3925
310	1768	3917
311	1772	3909
312	1778	3903
313	1782	3894
314	1787	3886
315	1792	3879
316	1796	3871
317	1801	3863
318	1807	3858
319	1811	3849
320	1817	3843
321	1821	3835
322	1827	3829
323	1833	3825
324	1839	3819
325	1847	3820
326	1852	3812
327	1857	3805
328	1863	3800
329	1867	3792
330	1874	3787
331	1878	3778
332	1883	3772
333	1889	3767
334	1896	3763
335	1902	3759
336	1922	3782
337	1926	3773
338	1931	3765
339	1937	3760
340	1942	3754
341	1948	3748
342	1954	3743
343	1959	3736
344	1963	3728
345	1969	3722
346	1974	3715
347	1979	3708
348	1984	3702
349	1989	3694
350	1994	3686
351	1999	3680
352	2004	3674
353	2009	3667
354	2014	3660
355	2019	3653
356	2025	3647
357	2030	3641
358	2038	3638
359	2043	3633
360	2050	3629
361	2055	3622
362	2059	3614
363	2066	3610
364	2071	3603
365	2076	3596
366	2081	3590
367	2085	3582
368	2090	3574
369	2096	3568
370	2101	3562
371	2105	3554
372	2110	3547
373	2114	3540
374	2119	3532
375	2124	3525
376	2130	3520
377	2135	3513
378	2139	3506
379	2144	3499
380	2158	3506
381	2164	3501
382	2168	3493
383	2173	3486
384	2178	3479
385	2182	3471
386	2187	3464
387	2192	3458
388	2197	3451
389	2201	3443
390	2207	3438
391	2211	3430
392	2218	3427
393	2224	3420
394	2229	3414
395	2234	3408
396	2240	3403
397	2246	3397
398	2250	3389
399	2256	3384
400	2261	3377
401	2266	3372
402	2273	3367
403	2279	3363
404	2285	3357
405	2289	3350
406	2294	3343
407	2298	3335
408	2305	3332
409	2310	3324
410	2316	3320
411	2325	3318
412	2332	3314
413	2338	3309
414	2342	3301
415	2346	3294
416	2352	3289
417	2356	3281
418	2361	3274
419	2366	3267
420	2371	3261
421	2375	3253
422	2379	3246
423	2385	3240
424	2390	3234
425	2397	3230
426	2410	3234
427	2416	3228
428	2420	3221
429	2425	3215
430	2430	3209
431	2435	3202
432	2440	3195
433	2447	3192
434	2453	3186
435	2457	3179
436	2462	3172
437	2467	3166
438	2471	3158
439	2476	3151
440	2482	3146
441	2486	3139
442	2491	3132
443	2496	3126
444	2501	3119
445	2505	3112
446	2512	3107
447	2517	3101
448	2521	3093
449	2526	3087
450	2530	3080
451	2535	3073
452	2539	3066
453	2545	3061
454	2549	3053
455	2554	3047
456	2560	3041
457	2564	3035
458	2568	3027
459	2575	3023
460	2581	3017
461	2586	3011
462	2591	3006
463	2596	2999
464	2600	2992
465	2605	2986
466	2610	2979
467	2615	2972
468	2620	2966
469	2625	2960
470	2629	2953
471	2635	2947
472	2640	2942
473	2645	2935
474	2652	2931
475	2662	2930
476	2667	2925
477	2673	2919
478	2677	2912
479	2682	2905
480	2686	2898
481	2695	2897
482	2699	2890
483	2705	2883
