iter	Passed	Remaining
0	164	164099
1	174	87099
2	179	59735
3	188	46917
4	194	38683
5	201	33398
6	207	29429
7	213	26475
8	220	24232
9	225	22285
10	230	20707
11	237	19525
12	241	18310
13	245	17277
14	251	16503
15	255	15709
16	259	15001
17	267	14616
18	272	14051
19	276	13542
20	281	13136
21	286	12722
22	290	12341
23	294	11973
24	299	11675
25	303	11364
26	307	11084
27	311	10827
28	317	10617
29	321	10390
30	327	10222
31	332	10043
32	336	9849
33	340	9660
34	344	9511
35	348	9343
36	352	9181
37	356	9030
38	361	8918
39	365	8780
40	369	8648
41	373	8524
42	378	8428
43	383	8323
44	387	8219
45	392	8133
46	396	8044
47	401	7956
48	406	7887
49	413	7849
50	418	7793
51	423	7720
52	429	7675
53	434	7606
54	438	7530
55	445	7507
56	449	7439
57	453	7366
58	459	7327
59	463	7262
60	467	7194
61	472	7144
62	476	7088
63	480	7027
64	484	6971
65	489	6931
66	493	6876
67	497	6821
68	502	6776
69	507	6745
70	513	6714
71	517	6672
72	525	6667
73	530	6640
74	534	6595
75	542	6595
76	547	6562
77	552	6525
78	558	6513
79	564	6494
80	575	6525
81	581	6511
82	591	6533
83	597	6513
84	603	6498
85	609	6482
86	615	6457
87	621	6442
88	643	6582
89	669	6765
90	673	6724
91	677	6683
92	683	6664
93	687	6626
94	691	6588
95	695	6551
96	700	6521
97	704	6484
98	708	6449
99	715	6442
100	722	6431
101	726	6399
102	731	6369
103	735	6335
104	739	6299
105	744	6277
106	748	6245
107	752	6212
108	756	6180
109	760	6155
110	764	6125
111	768	6096
112	773	6069
113	778	6047
114	781	6017
115	785	5987
116	790	5968
117	795	5946
118	799	5920
119	804	5901
120	810	5890
121	815	5872
122	820	5849
123	825	5829
124	829	5806
125	833	5783
126	838	5760
127	843	5743
128	847	5720
129	852	5702
130	856	5679
131	860	5656
132	864	5633
133	867	5609
134	872	5588
135	876	5566
136	880	5544
137	883	5521
138	887	5500
139	892	5480
140	895	5458
141	899	5437
142	904	5417
143	909	5407
144	913	5386
